PURPOSE,IMAGE
Airport/Travel,https://cdn-icons-png.flaticon.com/128/8821/8821514.png
Between Offices,https://cdn-icons-png.flaticon.com/128/3135/3135711.png
Charity ($),https://cdn-icons-png.flaticon.com/128/6016/6016457.png
Commute,https://cdn-icons-png.flaticon.com/512/6816/6816786.png
Customer Visit,https://cdn-icons-png.flaticon.com/128/753/753114.png
Errand/Supplies,https://static.thenounproject.com/png/2973418-200.png
Meal/Entertain,https://cdn-icons-png.flaticon.com/128/2900/2900183.png
Meeting,https://cdn-icons-png.flaticon.com/128/4656/4656220.png
Moving,https://cdn-icons-png.flaticon.com/128/4106/4106972.png
No Specific,https://cdn-icons-png.flaticon.com/128/6662/6662912.png
Temporary Site,https://cdn-icons-png.flaticon.com/128/9172/9172853.png
